record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category
0,journals/sigmod/AtzeniM98,True,2,HtxGbMkTXdsJ,0.11821222745664951,0.06543375917297431,0.0527784682836752,0.5000000000000001,False,missing_match,DBLP,43,True,correct
1,conf/vldb/ShiSZ03,True,1,-OjqoDQTIxMJ,0.9857352785999955,0.001920112106344306,0.9838151664936512,0.5000000000000001,True,correct,DBLP,43,True,correct
2,conf/vldb/MalonM97,True,1,ogRpbFNQTSkJ,0.9789397713585812,0.0004464126254890873,0.9784933587330922,0.5000000000000001,True,correct,DBLP,43,True,correct
3,conf/vldb/ChaudhuriS96,True,5,QCFUIVkspywJ,0.9582567857569543,0.9240547324431221,0.03420205331383219,0.5000000000000001,True,correct,DBLP,43,True,correct
4,conf/sigmod/SeidlK98,True,2,TodiMgxv4vMJ,0.931779565270988,0.8649972008157107,0.0667823644552773,0.5000000000000001,True,correct,DBLP,43,True,correct
5,conf/sigmod/BargaL99,True,2,QGxyK7bJQOMJ,0.9275715775324828,0.8804291954521186,0.04714238208036414,0.5000000000000001,True,correct,DBLP,43,True,correct
6,conf/sigmod/ChooOLCGBPS96,True,6,WrrEnOJswS4J,0.9525412816035059,0.8017030433108568,0.15083823829264909,0.5000000000000001,True,correct,DBLP,43,True,correct
7,conf/sigmod/Galindo-Legaria94,True,1,iEs59H5EFHwJ,0.9356342916701397,0.009275024702512185,0.9263592669676275,0.5000000000000001,True,correct,DBLP,43,True,correct
8,conf/vldb/AgrawalSX02,True,1,a1CLM5GoVtYJ,0.990000597873991,0.014197465367898942,0.9758031325060921,0.5000000000000001,True,correct,DBLP,43,True,correct
9,journals/sigmod/NorrieBSW94,True,2,q6YVJJgD1uQJ,0.9850184145936424,0.026511804382707217,0.9585066102109352,0.5000000000000001,True,correct,DBLP,43,True,correct
10,journals/vldb/PapazogluK97,True,2,kFQl7LX8OQkJ,0.9079358358550589,0.7683934686089199,0.139542367246139,0.5000000000000001,True,correct,DBLP,43,True,correct
11,journals/vldb/BerendtS00,True,3,_0meUij3ZJEJ,0.9862840286611482,0.9643703163501506,0.02191371231099759,0.5000000000000001,True,correct,DBLP,43,True,correct
12,conf/sigmod/UrhanFA98,True,1,ufjnZovcIb4J,0.9359316035638529,0.0005708484304475896,0.9353607551334052,0.5000000000000001,True,correct,DBLP,43,True,correct
13,conf/vldb/NgH94,True,14,YMluKoJrxMcJ,0.9750525158001753,0.9692653672767352,0.005787148523440089,0.5000000000000001,True,correct,DBLP,43,True,correct
14,conf/vldb/TanGO99,True,1,CcTZvs8xd2sJ,0.9791864099406902,0.009855665005885965,0.9693307449348042,0.5000000000000001,True,correct,DBLP,43,True,correct
15,conf/sigmod/OoiTZGLLLNSWZ03,True,1,l78OeieL4ZsJ,0.6119462202763706,0.0007511308613207903,0.6111950894150497,0.5000000000000001,True,correct,DBLP,43,True,correct
16,conf/vldb/MadhavanBR01,True,4,wRHapJxb_-QJ,0.9888086285920092,0.9864543168209162,0.0023543117710930206,0.5000000000000001,True,correct,DBLP,43,True,correct
17,conf/sigmod/HjaltasonS98,True,2,3mwWUz_ORNYJ,0.9859695373574268,0.615683429893529,0.3702861074638978,0.5000000000000001,True,correct,DBLP,43,True,correct
18,journals/tods/GutingBEJLSV00,True,4,1qV5-83rTyUJ,0.9130285136086413,0.8166778155887245,0.0963506980199168,0.5000000000000001,True,correct,DBLP,43,True,correct
19,journals/sigmod/CuiJO02,True,2,Llr0ikQ8yIIJ,0.6380876999719642,0.17749567550422196,0.4605920244677423,0.5000000000000001,True,correct,DBLP,43,True,correct
20,conf/vldb/GarofalakisRS99,True,6,Xm3ygCvkmN8J,0.9900005974714438,0.9766865764447303,0.013314021026713418,0.5000000000000001,True,correct,DBLP,43,True,correct
21,conf/vldb/Moerkotte98,True,2,HcCevkoobDsJ,0.9900006131278463,0.879395206678871,0.11060540644897521,0.5000000000000001,True,correct,DBLP,43,True,correct
22,conf/sigmod/PopaDST00,True,1,gAwckIiPpTEJ,0.9601133429347455,0.00028516888860189826,0.9598281740461436,0.5000000000000001,True,correct,DBLP,43,True,correct
23,conf/sigmod/Aggarwal03,True,1,qbubaA6mQawJ,0.6007699277541073,0.07862810510543541,0.5221418226486719,0.5000000000000001,True,correct,DBLP,43,True,correct
24,conf/sigmod/KarbhariRXD02,True,2,TZsVVmiiHqEJ,0.9559881722068857,0.9127248398465304,0.04326333236035529,0.5000000000000001,True,correct,DBLP,43,True,correct
25,conf/sigmod/IoannidisP95,True,3,bv21uJEzUwAJ,0.9843869663629371,0.9463623663291622,0.03802460003377495,0.5000000000000001,True,correct,DBLP,43,True,correct
26,conf/vldb/GrustKT03,True,2,25xRkmL_4BsJ,0.9822504582867709,0.47160957659921343,0.5106408816875575,0.5000000000000001,True,correct,DBLP,43,True,correct
27,conf/sigmod/Dietterich94,False,0,pMJCOmp4AAkJ,0.011952461164645158,0.0011639623247631124,0.010788498839882046,0.5000000000000001,False,unmatched_abstention,DBLP,43,True,false_link
28,conf/sigmod/BreitbartKRSS99,True,1,XV2lpkhWCsYJ,0.9498725347263375,0.024224752624426,0.9256477821019115,0.5000000000000001,True,correct,DBLP,43,True,correct
29,conf/sigmod/HsiaoN00,True,1,iY5wlS4jsg0J,0.9859266134466503,0.000494010225642579,0.9854326032210078,0.5000000000000001,True,correct,DBLP,43,True,correct
30,conf/vldb/MillerHH00,True,7,KTp2S_xbXfYJ,0.9578316182358203,0.9569403686037965,0.000891249632023805,0.5000000000000001,True,correct,DBLP,43,True,correct
31,conf/vldb/BliujuteJSS98,True,5,oBpe7jg0YHYJ,0.989209392073,0.7612780140294906,0.22793137804350938,0.5000000000000001,True,correct,DBLP,43,True,correct
32,journals/sigmod/FifeG03,True,1,oOdAqQph_zsJ,0.9869119829155417,0.09257348305830193,0.8943384998572398,0.5000000000000001,True,correct,DBLP,43,True,correct
33,conf/sigmod/AchyutuniON96,True,1,eRSkDzxP1JcJ,0.9867679445792864,0.0015134373572717689,0.9852545072220147,0.5000000000000001,True,correct,DBLP,43,True,correct
34,conf/vldb/MahnkeMS02,True,1,VhxIKKG8oWYJ,0.882349631636205,0.0009159413086956503,0.8814336903275093,0.5000000000000001,True,correct,DBLP,43,True,correct
35,conf/vldb/JarkeKL00,True,2,6c3XQZ-_HDUJ,0.9743020306959246,0.8382673189659576,0.13603471172996695,0.5000000000000001,True,correct,DBLP,43,True,correct
36,conf/sigmod/JonkerS95,True,1,Rg4UOUTwgAcJ,0.9804099940147488,0.0026903829509678893,0.9777196110637809,0.5000000000000001,True,correct,DBLP,43,True,correct
37,conf/sigmod/OlstonWL01,True,1,I_YprPVQ45QJ,0.988062463966754,0.006879399282406863,0.9811830646843471,0.5000000000000001,True,correct,DBLP,43,True,correct
38,conf/vldb/Slutz98,True,1,1blbGQk5ZpUJ,0.9658008371806136,0.0014568080513044266,0.9643440291293092,0.5000000000000001,True,correct,DBLP,43,True,correct
39,conf/vldb/ChristodoulakisTZ97,True,2,lojHMj5xWEwJ,0.985735279764223,0.4862696079502903,0.49946567181393275,0.5000000000000001,True,correct,DBLP,43,True,correct
40,conf/vldb/NiermanJ02,True,1,1NZsxf_zwF4J,0.9884584726766757,0.000966748574103144,0.9874917241025726,0.5000000000000001,True,correct,DBLP,43,True,correct
41,conf/vldb/SkubiszewskiV97,True,1,MJAw_2C6ErAJ,0.985068904097143,0.005365499766647283,0.9797034043304957,0.5000000000000001,True,correct,DBLP,43,True,correct
42,journals/tods/GunopulosKMSTS03,True,5,-q1BFuUI27EJ,0.9825270153355488,0.354774497910622,0.6277525174249268,0.5000000000000001,True,correct,DBLP,43,True,correct
43,journals/sigmod/Ulusoy95,True,1,uMYecZGSCv4J,0.9901881233407668,0.06932846542455809,0.9208596579162087,0.5000000000000001,True,correct,DBLP,43,True,correct
44,journals/sigmod/LuoI02,True,2,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601879%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.6683261522771212,0.6180064517379983,0.050319700539122936,0.5000000000000001,True,correct,DBLP,43,True,correct
45,conf/vldb/Selinger02,True,1,76u3c8hIWqoJ,0.9779644979460703,0.0065639846372082845,0.971400513308862,0.5000000000000001,True,correct,DBLP,43,True,correct
46,conf/vldb/LiRS99,True,2,Bf44yXvb6EAJ,0.9041921850108459,0.7573493380961225,0.14684284691472338,0.5000000000000001,True,correct,DBLP,43,True,correct
47,journals/sigmod/Franklin97,False,0,url:http://doi.wiley.com/10.1002/tl.7700,0.44580411469091813,0.4392235989483884,0.006580515742529713,0.5000000000000001,False,unmatched_abstention,DBLP,43,False,unmatched_abstention
48,conf/sigmod/BarbosaMKL02,True,2,wO-iR4jRq0UJ,0.8383751150442065,0.8292566786567295,0.009118436387477002,0.5000000000000001,True,correct,DBLP,43,True,correct
49,conf/vldb/Ladin00,True,1,kPTa4IiS_sgJ,0.9857353099658533,0.2142813567076101,0.7714539532582433,0.5000000000000001,True,correct,DBLP,43,True,correct
50,conf/vldb/ShuklaDN98,True,2,1eCp1f8DhasJ,0.9889152471680862,0.7031062557739004,0.2858089913941858,0.5000000000000001,True,correct,DBLP,43,True,correct
51,conf/vldb/ChristopheBPV00,True,5,8DRB_dYz2CgJ,0.9900005852008434,0.9651297780705498,0.02487080713029366,0.5000000000000001,True,correct,DBLP,43,True,correct
52,journals/sigmod/SchlageterBHMSW95,True,2,url:http://portal.acm.org/citation.cfm%3Fid%3D202672,0.9566767339439494,0.599394028957142,0.35728270498680736,0.5000000000000001,True,correct,DBLP,43,True,correct
53,conf/vldb/Amer-YahiaCD98,True,3,9nmG2KCklEcJ,0.9900005974714438,0.9343614100503858,0.055639187421058,0.5000000000000001,True,correct,DBLP,43,True,correct
54,journals/sigmod/BonifatiC00,True,4,XCdMiXLp41IJ,0.9901881233407668,0.9479014431526968,0.042286680188070025,0.5000000000000001,True,correct,DBLP,43,True,correct
55,journals/sigmod/BertinoEH03,True,1,4m-WmWU5iGYJ,0.9830082732687333,0.07585168739844396,0.9071565858702894,0.5000000000000001,True,correct,DBLP,43,True,correct
56,conf/sigmod/SagonasSW94a,True,6,nDGblldnEGAJ,0.9858705165989395,0.7536148817214788,0.2322556348774607,0.5000000000000001,True,correct,DBLP,43,True,correct
57,conf/sigmod/Weininger00,True,1,url:http://portal.acm.org/citation.cfm%3Fid%3D335465,0.986974985763476,0.0003205882278244514,0.9866543975356515,0.5000000000000001,True,correct,DBLP,43,True,correct
58,journals/tods/Chomicki95,False,0,QVmWvrI3myQJ,0.8262866024430071,0.04179460874310373,0.7844919936999034,0.5000000000000001,True,false_link,DBLP,43,True,false_link
59,conf/sigmod/CookWZ94,True,2,LiIWlw3oNgUJ,0.9794083368999291,0.9524564243895216,0.026951912510407516,0.5000000000000001,True,correct,DBLP,43,True,correct
60,journals/tods/BozkayaO99,True,2,CEKbSWc_C6UJ,0.9828809889080187,0.7034822703199201,0.2793987185880986,0.5000000000000001,True,correct,DBLP,43,True,correct
