record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category
0,35680,True,1,208156276,0.883801846520161,0.02276218603111671,0.8610396604890443,0.30000000000000004,True,correct,ECOM,43,True,correct
1,33601,True,1,204071217,0.31942506620681216,0.1983817948206665,0.12104327138614565,0.30000000000000004,True,false_link,ECOM,43,True,correct
2,25990,True,1,203915639,0.7697110576857514,0.08145371442294806,0.6882573432628034,0.30000000000000004,True,correct,ECOM,43,True,correct
3,33150,True,1,208105630,0.8198055565680819,0.283057169824333,0.5367483867437488,0.30000000000000004,True,correct,ECOM,43,True,correct
4,33476,True,1,208504178,0.9004868717815971,0.7611955012329126,0.13929137054868457,0.30000000000000004,True,correct,ECOM,43,True,correct
5,38876,True,1,210634625,0.639475578769544,0.3083032537319229,0.33117232503762106,0.30000000000000004,True,correct,ECOM,43,True,correct
6,33586,True,1,207338890,0.9283292231011959,0.5236814635662635,0.40464775953493237,0.30000000000000004,True,correct,ECOM,43,True,correct
7,36207,True,1,10363070,0.252127769806587,0.008998306578622066,0.24312946322796494,0.30000000000000004,False,missing_match,ECOM,43,True,correct
8,38475,True,1,10140760,0.7922174137788685,0.021288490792896644,0.7709289229859718,0.30000000000000004,True,correct,ECOM,43,True,correct
9,24386,True,1,203340101,0.6737747876363978,0.07031354386192924,0.6034612437744685,0.30000000000000004,True,correct,ECOM,43,True,correct
10,13580,True,1,90125772,0.9050188818420748,0.5504484606490319,0.35457042119304294,0.30000000000000004,True,correct,ECOM,43,True,correct
11,35019,True,1,208117925,0.0655476627658387,0.027938287570725293,0.03760937519511341,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match
12,31830,True,1,205557539,0.9401932942449589,0.07320760174569718,0.8669856924992617,0.30000000000000004,True,correct,ECOM,43,True,correct
13,32876,True,1,203870569,0.24446972590896557,0.14988750416373972,0.09458222174522585,0.30000000000000004,False,missing_match,ECOM,43,True,false_link
14,26241,True,1,208456199,0.7884462808968585,0.17189094220815324,0.6165553386887053,0.30000000000000004,True,correct,ECOM,43,True,correct
15,36812,True,1,210399819,0.6191947556704533,0.031639227533568,0.5875555281368854,0.30000000000000004,True,correct,ECOM,43,True,correct
16,14070,True,1,203915639,0.024126489883404795,0.0162630049932754,0.007863484890129394,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match
17,19358,True,1,90144996,0.5226242353095505,0.284814577856716,0.2378096574528345,0.30000000000000004,True,correct,ECOM,43,True,false_link
18,29493,True,1,204549804,0.9132762615691412,0.15642922763842437,0.7568470339307168,0.30000000000000004,True,correct,ECOM,43,True,correct
19,37811,True,1,209245960,0.9569552790917001,0.3298184938189186,0.6271367852727815,0.30000000000000004,True,correct,ECOM,43,True,correct
20,27719,True,1,203379237,0.8706916719138544,0.07521231141700331,0.7954793604968511,0.30000000000000004,True,correct,ECOM,43,True,correct
21,33209,True,1,208653765,0.9346608885134149,0.2735923071198879,0.661068581393527,0.30000000000000004,True,correct,ECOM,43,True,correct
22,32493,True,1,203324970,0.8711271751009619,0.21701936393349594,0.654107811167466,0.30000000000000004,True,correct,ECOM,43,True,correct
23,27589,True,1,204264643,0.6983407697449614,0.10281962704692311,0.5955211426980382,0.30000000000000004,True,correct,ECOM,43,True,correct
24,38451,True,1,205817166,0.8280895886711265,0.3812018268528883,0.4468877618182382,0.30000000000000004,True,correct,ECOM,43,True,correct
25,29099,True,1,204222472,0.2988683460286876,0.13905914040920656,0.15980920561948106,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match
26,38511,True,1,210460676,0.9389800152799234,0.48564094541903335,0.45333906986089,0.30000000000000004,True,correct,ECOM,43,True,correct
27,36620,True,1,208453646,0.7955488109980979,0.1269495863269094,0.6685992246711885,0.30000000000000004,True,correct,ECOM,43,True,correct
28,35186,True,1,208117919,0.8985654000565598,0.8806941977954996,0.017871202261060204,0.30000000000000004,True,correct,ECOM,43,True,correct
29,33591,True,1,207388754,0.6219945864709815,0.19586633574549306,0.42612825072548843,0.30000000000000004,True,correct,ECOM,43,True,correct
30,33510,True,1,205516750,0.055675391028594534,0.002718710058467232,0.052956680970127304,0.30000000000000004,False,missing_match,ECOM,43,False,missing_match
31,38399,True,1,210479062,0.45469940198777425,0.030581029329818734,0.42411837265795554,0.30000000000000004,True,correct,ECOM,43,True,correct
32,34981,True,1,208504339,0.8358305536731214,0.7069313991403915,0.12889915453272993,0.30000000000000004,True,correct,ECOM,43,True,correct
