record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category,quartile
0,32889,True,1,208085178,0.4151417144618082,0.16861053606921642,0.24653117839259178,0.40000000000000013,True,correct,ECOM,42,True,correct,Q2
1,33936,True,1,207391019,0.8439571130766925,0.12304509753213053,0.720912015544562,0.40000000000000013,True,correct,ECOM,42,True,correct,Q4
2,35175,True,1,209297205,0.03522344574004627,0.01081416309294007,0.024409282647106203,0.40000000000000013,False,missing_match,ECOM,42,False,missing_match,Q1
3,34126,True,1,203166120,0.8224070787939634,0.7827753708493158,0.03963170794464754,0.40000000000000013,True,correct,ECOM,42,True,correct,Q1
4,38773,True,1,210441166,0.782710282353662,0.07417081210365989,0.7085394702500021,0.40000000000000013,True,correct,ECOM,42,True,correct,Q3
5,34301,True,1,206615080,0.9585528520119896,0.8974044792174956,0.06114837279449403,0.40000000000000013,True,correct,ECOM,42,True,correct,Q1
6,38096,True,1,207391434,0.9721622977951183,0.059692692045849614,0.9124696057492687,0.40000000000000013,True,correct,ECOM,42,True,correct,Q4
7,38106,True,1,202026554,0.9624690742343635,0.22326219653915663,0.7392068776952068,0.40000000000000013,True,correct,ECOM,42,True,correct,Q4
8,38957,True,1,207535265,0.4921355961945139,0.02261049815956527,0.46952509803494863,0.40000000000000013,True,correct,ECOM,42,False,missing_match,Q2
9,37211,True,1,209310260,0.5720021937404166,0.10808424621551731,0.4639179475248993,0.40000000000000013,True,correct,ECOM,42,True,correct,Q2
10,38735,True,1,203329570,0.7867236016122322,0.40601258160137454,0.38071102001085766,0.40000000000000013,True,correct,ECOM,42,True,correct,Q2
11,34092,True,2,207679756,0.9582950975865251,0.8041612880134044,0.15413380957312073,0.40000000000000013,True,correct,ECOM,42,True,correct,Q1
12,34476,True,1,206888012,0.04541470752148727,0.027003081137405946,0.018411626384081323,0.40000000000000013,False,missing_match,ECOM,42,False,missing_match,Q1
13,25136,True,1,203087638,0.6959796896232086,0.09612174616720034,0.5998579434560082,0.40000000000000013,True,correct,ECOM,42,True,correct,Q3
14,31881,True,1,203514371,0.9169566502099654,0.23615393897468553,0.6808027112352799,0.40000000000000013,True,correct,ECOM,42,True,correct,Q3
15,33220,True,1,208653767,0.935398439799399,0.10759289001757694,0.827805549781822,0.40000000000000013,True,correct,ECOM,42,True,correct,Q4
16,30602,True,1,208111280,0.05774419072855285,0.020432226477832893,0.03731196425071996,0.40000000000000013,False,missing_match,ECOM,42,True,correct,Q1
17,33562,True,1,207542597,0.869987303104685,0.03379199340131035,0.8361953097033746,0.40000000000000013,True,correct,ECOM,42,True,correct,Q4
18,37182,True,1,209705774,0.7107502441622512,0.04205697092163683,0.6686932732406143,0.40000000000000013,True,correct,ECOM,42,True,correct,Q3
19,37039,True,1,208504461,0.6711507235397992,0.02743013861176441,0.6437205849280347,0.40000000000000013,True,correct,ECOM,42,True,correct,Q3
20,17187,True,1,202041204,0.6542463431298753,0.08702880767507828,0.567217535454797,0.40000000000000013,True,correct,ECOM,42,True,correct,Q3
21,18441,True,1,209002546,0.2767270765754156,0.0021699549990503563,0.27455712157636525,0.40000000000000013,False,missing_match,ECOM,42,True,correct,Q2
22,33493,True,1,206928744,0.9324352233410215,0.06817531301966932,0.8642599103213522,0.40000000000000013,True,correct,ECOM,42,True,correct,Q4
23,32280,True,1,205985719,0.18365323334643763,0.18365323334643763,0.0,0.40000000000000013,False,missing_match,ECOM,42,False,missing_match,Q1
24,33758,True,1,207910212,0.9632232184751226,0.9473029597888908,0.015920258686231814,0.40000000000000013,True,correct,ECOM,42,True,correct,Q1
25,37964,True,1,209310243,0.9173854692428193,0.3591951359254799,0.5581903333173394,0.40000000000000013,True,correct,ECOM,42,True,correct,Q3
26,36345,True,1,204407682,0.8206827695595208,0.6423061045775182,0.17837666498200255,0.40000000000000013,True,correct,ECOM,42,True,correct,Q2
27,31992,True,1,203952966,0.9829455938345758,0.9020815021557568,0.08086409167881903,0.40000000000000013,True,correct,ECOM,42,True,correct,Q1
28,38483,True,1,204407682,0.9272926629880991,0.7634765297154088,0.1638161332726903,0.40000000000000013,True,false_link,ECOM,42,True,correct,Q2
