record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category,quartile
0,33455,True,1,207464920,0.23122407681005783,0.18198438734335987,0.04923968946669796,0.30000000000000004,False,missing_match,ECOM,44,False,missing_match,Q1
1,14715,True,1,203021705,0.7243997347671213,0.02586935572475138,0.6985303790423699,0.30000000000000004,True,correct,ECOM,44,True,correct,Q3
2,29677,True,1,204884519,0.6995842818351282,0.011886897263717867,0.6876973845714104,0.30000000000000004,True,correct,ECOM,44,True,correct,Q3
3,33026,True,1,204230770,0.5267012385276918,0.05373777565996831,0.4729634628677235,0.30000000000000004,True,correct,ECOM,44,True,correct,Q3
4,34092,True,2,207679756,0.9479514456719381,0.8011208639364403,0.1468305817354978,0.30000000000000004,True,correct,ECOM,44,True,correct,Q1
5,29099,True,1,204222472,0.3252292289188448,0.2388009265808714,0.08642830233797341,0.30000000000000004,True,correct,ECOM,44,False,missing_match,Q1
6,39054,True,1,207390496,0.04623763126906001,0.01673591336291951,0.029501717906140503,0.30000000000000004,False,missing_match,ECOM,44,False,missing_match,Q1
7,27964,True,1,203136103,0.8368430799261017,0.07223089883983451,0.7646121810862673,0.30000000000000004,True,correct,ECOM,44,True,correct,Q4
8,36861,True,1,210442348,0.9160759428952853,0.18419729588533307,0.7318786470099522,0.30000000000000004,True,correct,ECOM,44,True,correct,Q4
9,27789,True,1,204318286,0.47045821631602636,0.17946507105784884,0.29099314525817754,0.30000000000000004,True,false_link,ECOM,44,False,missing_match,Q2
10,37110,True,1,209114551,0.9511615663089553,0.7667364584650247,0.18442510784393062,0.30000000000000004,True,correct,ECOM,44,True,correct,Q2
11,27965,True,1,203136103,0.6048065134094845,0.0769127004174805,0.5278938129920041,0.30000000000000004,True,false_link,ECOM,44,True,false_link,Q3
12,29829,True,1,208715736,0.30873853655532846,0.04071697821275598,0.26802155834257246,0.30000000000000004,True,false_link,ECOM,44,True,false_link,Q2
13,35277,True,1,208085253,0.8209919753934589,0.12449042984230983,0.6965015455511491,0.30000000000000004,True,correct,ECOM,44,True,correct,Q3
