record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed
0,32889,True,1,208085178,0.397800718581221,0.15161166218609545,0.24618905639512556,0.40000000000000013,False,missing_match,ECOM,42
1,33936,True,1,207391019,0.8445117747291664,0.10727663723551578,0.7372351374936505,0.40000000000000013,True,correct,ECOM,42
2,35175,True,1,209297205,0.02894911985844078,0.008398601090776909,0.02055051876766387,0.40000000000000013,False,missing_match,ECOM,42
3,34126,True,1,203166120,0.8233917199474663,0.781895125675131,0.04149659427233532,0.40000000000000013,True,correct,ECOM,42
4,38773,True,1,210441166,0.7821126751009887,0.06292117070841385,0.7191915043925748,0.40000000000000013,True,correct,ECOM,42
5,34301,True,1,206615080,0.9610697843228967,0.8996860755163679,0.06138370880652877,0.40000000000000013,True,correct,ECOM,42
6,38096,True,1,207391434,0.9742542858589851,0.050267874668073816,0.9239864111909113,0.40000000000000013,True,correct,ECOM,42
7,38106,True,1,202026554,0.9651359866056155,0.203251401441452,0.7618845851641635,0.40000000000000013,True,correct,ECOM,42
8,38957,True,1,207535265,0.4772234405237487,0.018046278591663592,0.45917716193208513,0.40000000000000013,True,correct,ECOM,42
9,37211,True,1,209310260,0.5583758725324639,0.09375065704221609,0.4646252154902478,0.40000000000000013,True,correct,ECOM,42
10,38735,True,1,203329570,0.7859766695756691,0.3875453192464459,0.3984313503292232,0.40000000000000013,True,correct,ECOM,42
11,34092,True,2,207679756,0.9606938563020906,0.8045840900599381,0.15610976624215245,0.40000000000000013,True,correct,ECOM,42
12,34476,True,1,206888012,0.03777807405554167,0.02188114864609411,0.015896925409447562,0.40000000000000013,False,missing_match,ECOM,42
13,25136,True,1,203087638,0.6911373044043856,0.08334912399727246,0.6077881804071131,0.40000000000000013,True,correct,ECOM,42
14,31881,True,1,203514371,0.920183386614448,0.21486496117216003,0.705318425442288,0.40000000000000013,True,correct,ECOM,42
15,33220,True,1,208653767,0.9382884528520202,0.09338275590021111,0.8449056969518092,0.40000000000000013,True,correct,ECOM,42
