record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed
0,33455,True,1,207464920,0.21233766442847318,0.1613960447254715,0.05094161970300168,0.3500000000000001,False,missing_match,ECOM,44
1,14715,True,1,203021705,0.7208759885519614,0.021756041260445894,0.6991199472915155,0.3500000000000001,True,correct,ECOM,44
2,29677,True,1,204884519,0.7005399189010153,0.009259048129096408,0.6912808707719189,0.3500000000000001,True,correct,ECOM,44
3,33026,True,1,204230770,0.5052435658758838,0.04299096298187846,0.4622526028940054,0.3500000000000001,True,correct,ECOM,44
4,34092,True,2,207679756,0.9568142304570819,0.7975203104522082,0.15929392000487375,0.3500000000000001,True,correct,ECOM,44
5,29099,True,1,204222472,0.3014154248392089,0.21668797654794905,0.08472744829125986,0.3500000000000001,False,missing_match,ECOM,44
6,39054,True,1,207390496,0.03694253615247028,0.01308017324955151,0.023862362902918766,0.3500000000000001,False,missing_match,ECOM,44
7,27964,True,1,203136103,0.8334870288036685,0.05806926577005359,0.775417763033615,0.3500000000000001,True,correct,ECOM,44
8,36861,True,1,210442348,0.9192497074758392,0.16015369379768402,0.7590960136781553,0.3500000000000001,True,correct,ECOM,44
9,27789,True,1,204318286,0.44478717061971534,0.1553319491806677,0.28945522143904767,0.3500000000000001,True,false_link,ECOM,44
10,37110,True,1,209114551,0.9603098363327257,0.7854302380775424,0.1748795982551833,0.3500000000000001,True,correct,ECOM,44
11,27965,True,1,203136103,0.5851543230465437,0.06227629595871883,0.5228780270878248,0.3500000000000001,True,false_link,ECOM,44
12,29829,True,1,208715736,0.28056979732110116,0.031903662585253116,0.24866613473584803,0.3500000000000001,False,missing_match,ECOM,44
13,35277,True,1,208085253,0.8386250822326833,0.11546823750540668,0.7231568447272766,0.3500000000000001,True,correct,ECOM,44
14,28433,True,1,203142438,0.8092783041131414,0.021351801098200507,0.7879265030149409,0.3500000000000001,True,correct,ECOM,44
15,36118,True,1,203142471,0.6562188553233816,0.02346179584994026,0.6327570594734414,0.3500000000000001,True,correct,ECOM,44
16,21989,True,1,204274645,0.8944288053759619,0.09296649425769901,0.8014623111182629,0.3500000000000001,True,correct,ECOM,44
17,36168,True,1,208171630,0.9340007520184014,0.862396034334945,0.07160471768345633,0.3500000000000001,True,correct,ECOM,44
18,32322,True,1,203405815,0.6054129647038478,0.010199742735388312,0.5952132219684595,0.3500000000000001,True,correct,ECOM,44
19,28256,True,1,204563763,0.9046391321280666,0.1578065349287062,0.7468325971993603,0.3500000000000001,True,correct,ECOM,44
