record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed
0,journals/sigmod/AtzeniM98,True,2,HtxGbMkTXdsJ,0.11090204710632391,0.06130104038208321,0.0496010067242407,0.40000000000000013,False,missing_match,DBLP,43
1,conf/vldb/ShiSZ03,True,1,-OjqoDQTIxMJ,0.9862014280003281,0.0014632633037009327,0.9847381646966271,0.40000000000000013,True,correct,DBLP,43
2,conf/vldb/MalonM97,True,1,ogRpbFNQTSkJ,0.9793415260665378,0.002554134527184179,0.9767873915393536,0.40000000000000013,True,correct,DBLP,43
3,conf/vldb/ChaudhuriS96,True,5,QCFUIVkspywJ,0.9569703612937638,0.9250865470413345,0.031883814252429254,0.40000000000000013,True,correct,DBLP,43
4,conf/sigmod/SeidlK98,True,2,TodiMgxv4vMJ,0.9319127918172442,0.8688333359991424,0.06307945581810182,0.40000000000000013,True,correct,DBLP,43
5,conf/sigmod/BargaL99,True,2,QGxyK7bJQOMJ,0.9277562786076383,0.8769882080900243,0.050768070517614006,0.40000000000000013,True,correct,DBLP,43
6,conf/sigmod/ChooOLCGBPS96,True,6,WrrEnOJswS4J,0.9540029949931954,0.8016239535550534,0.15237904143814196,0.40000000000000013,True,correct,DBLP,43
7,conf/sigmod/Galindo-Legaria94,True,1,iEs59H5EFHwJ,0.9356429634957252,0.006396673080107365,0.9292462904156178,0.40000000000000013,True,correct,DBLP,43
8,conf/vldb/AgrawalSX02,True,1,a1CLM5GoVtYJ,0.9913126013848736,0.010626008291271803,0.9806865930936018,0.40000000000000013,True,correct,DBLP,43
9,journals/sigmod/NorrieBSW94,True,2,q6YVJJgD1uQJ,0.9868541537579789,0.020311802981326416,0.9665423507766525,0.40000000000000013,True,correct,DBLP,43
10,journals/vldb/PapazogluK97,True,2,kFQl7LX8OQkJ,0.9058589256087055,0.763309543164354,0.14254938244435156,0.40000000000000013,True,correct,DBLP,43
11,journals/vldb/BerendtS00,True,3,_0meUij3ZJEJ,0.9868884132584274,0.9681150285838876,0.018773384674539706,0.40000000000000013,True,correct,DBLP,43
12,conf/sigmod/UrhanFA98,True,1,ufjnZovcIb4J,0.9406128517281553,0.0036421482743093665,0.9369707034538459,0.40000000000000013,True,correct,DBLP,43
13,conf/vldb/NgH94,True,14,YMluKoJrxMcJ,0.9749718579311314,0.9737462506782742,0.0012256072528571416,0.40000000000000013,True,correct,DBLP,43
14,conf/vldb/TanGO99,True,1,CcTZvs8xd2sJ,0.9795920679902207,0.007341019476520974,0.9722510485136997,0.40000000000000013,True,correct,DBLP,43
15,conf/sigmod/OoiTZGLLLNSWZ03,True,1,l78OeieL4ZsJ,0.6116331747163041,0.0010366204748570385,0.610596554241447,0.40000000000000013,True,correct,DBLP,43
16,conf/vldb/MadhavanBR01,True,4,wRHapJxb_-QJ,0.9902366426276522,0.9876365612369463,0.0026000813907058884,0.40000000000000013,True,correct,DBLP,43
17,conf/sigmod/HjaltasonS98,True,2,3mwWUz_ORNYJ,0.9877369013894285,0.6150479622501742,0.37268893913925427,0.40000000000000013,True,correct,DBLP,43
18,journals/tods/GutingBEJLSV00,True,4,1qV5-83rTyUJ,0.9108492726033085,0.8177328198318834,0.0931164527714251,0.40000000000000013,True,correct,DBLP,43
19,journals/sigmod/CuiJO02,True,2,Llr0ikQ8yIIJ,0.6353469969057675,0.17209920715277,0.46324778975299746,0.40000000000000013,True,correct,DBLP,43
20,conf/vldb/GarofalakisRS99,True,6,Xm3ygCvkmN8J,0.9913126009292283,0.9766297778857225,0.014682823043505877,0.40000000000000013,True,correct,DBLP,43
21,conf/vldb/Moerkotte98,True,2,HcCevkoobDsJ,0.9913126151566837,0.8760571155898182,0.11525549956686543,0.40000000000000013,True,correct,DBLP,43
22,conf/sigmod/PopaDST00,True,1,gAwckIiPpTEJ,0.9637201400892242,0.00017037296829767087,0.9635497671209265,0.40000000000000013,True,correct,DBLP,43
23,conf/sigmod/Aggarwal03,True,1,qbubaA6mQawJ,0.5793180415480037,0.06462910049435144,0.5146889410536523,0.40000000000000013,True,correct,DBLP,43
24,conf/sigmod/KarbhariRXD02,True,2,TZsVVmiiHqEJ,0.9571045120338018,0.9185917580896483,0.03851275394415343,0.40000000000000013,True,correct,DBLP,43
25,conf/sigmod/IoannidisP95,True,3,bv21uJEzUwAJ,0.9862991633358572,0.9438033893278105,0.042495774008046716,0.40000000000000013,True,correct,DBLP,43
26,conf/vldb/GrustKT03,True,2,25xRkmL_4BsJ,0.9826954014156228,0.449800635327584,0.5328947660880388,0.40000000000000013,True,correct,DBLP,43
27,conf/sigmod/Dietterich94,False,0,pMJCOmp4AAkJ,0.009103796733187366,0.001604239679200386,0.00749955705398698,0.40000000000000013,False,unmatched_abstention,DBLP,43
