record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed
0,journals/vldb/Han98,True,1,url:http://www.springerlink.com/index/YTPAB711B92NCE7J.pdf,0.9719388129693567,0.003389126468647247,0.9685496865007095,0.5000000000000001,True,correct,DBLP,42
1,conf/sigmod/DoRD99,True,2,Rviij1nqEcoJ,0.9682701967969138,0.9640156253628174,0.004254571434096466,0.5000000000000001,True,correct,DBLP,42
2,conf/vldb/ChanGR02,True,2,7rn7AHVs1YUJ,0.9608695973041267,0.8487116182272274,0.11215797907689928,0.5000000000000001,True,correct,DBLP,42
3,conf/sigmod/BouguettayaBH99,True,3,siO8kr7vvLEJ,0.9457233104817848,0.802126007721776,0.14359730276000882,0.5000000000000001,True,correct,DBLP,42
4,conf/vldb/CochranePM96,True,1,NRLEnDsPlOkJ,0.9790125272477159,0.08856391113796669,0.8904486161097492,0.5000000000000001,True,correct,DBLP,42
5,conf/vldb/Wang95,True,2,7FUOWtSbiogJ,0.9858149069668201,0.7227824297095069,0.26303247725731316,0.5000000000000001,True,correct,DBLP,42
6,conf/vldb/LuL00,True,2,Ih5hY-NRmFgJ,0.9919309705060325,0.8565153836911124,0.13541558681492016,0.5000000000000001,True,correct,DBLP,42
7,journals/sigmod/DogacDKOONEHAKKM95,True,6,UAO4T_2ylPkJ,0.9861200100438259,0.7926360226853337,0.19348398735849215,0.5000000000000001,True,correct,DBLP,42
8,conf/sigmod/ShenNSHS03,True,1,LjrsWIr3rhAJ,0.9892298532845413,0.001644024610870019,0.9875858286736713,0.5000000000000001,True,correct,DBLP,42
9,journals/sigmod/CalvaneseGLV03,True,1,pGcIRyDyFG8J,0.9511442568371413,0.09826372073624239,0.852880536100899,0.5000000000000001,True,correct,DBLP,42
10,conf/vldb/JarkeKL00,True,2,6c3XQZ-_HDUJ,0.9748684852490538,0.861811327815481,0.11305715743357281,0.5000000000000001,True,correct,DBLP,42
11,conf/vldb/GoyalHSS95,True,3,2sGH4SLcdL4J,0.9837986247557098,0.9705714137578725,0.013227210997837302,0.5000000000000001,True,correct,DBLP,42
12,journals/sigmod/CruzKLSWY02,True,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601882%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.9875452558322502,0.02388902720113418,0.963656228631116,0.5000000000000001,True,correct,DBLP,42
13,conf/sigmod/LivnyRBCDLMW97a,True,5,vshQbbpnQiUJ,0.985427637753616,0.9743751476273562,0.01105249012625975,0.5000000000000001,True,correct,DBLP,42
14,conf/sigmod/PapakonstantinouV99,True,3,du5GsqT0_vQJ,0.9467667189921543,0.9073929206454748,0.03937379834667942,0.5000000000000001,True,correct,DBLP,42
